 ---------------------------------------------------------------------------------------------------------------------------------- 
                                          loging report for : 12/08/2008   12:06:44
 ---------------------------------------------------------------------------------------------------------------------------------- 

12:06:44  |  General  |  Warning  |  state name 'select' is obsolete, use 'pushed'. skin 'ButtonSmall'  |  c:\users\nicholas.kostelnik\desktop\mygui\trunk\myguiengine\src\mygui_skinmanager.cpp  |  202
12:06:44  |  General  |  Warning  |  state name 'disable' is obsolete, use 'disabled'. skin 'ButtonSmall'  |  c:\users\nicholas.kostelnik\desktop\mygui\trunk\myguiengine\src\mygui_skinmanager.cpp  |  194
12:06:44  |  General  |  Warning  |  state name 'active' is obsolete, use 'highlighted'. skin 'ButtonSmall'  |  c:\users\nicholas.kostelnik\desktop\mygui\trunk\myguiengine\src\mygui_skinmanager.cpp  |  198
12:06:44  |  General  |  Warning  |  state name 'pressed' is obsolete, use 'normal_checked'. skin 'ButtonSmall'  |  c:\users\nicholas.kostelnik\desktop\mygui\trunk\myguiengine\src\mygui_skinmanager.cpp  |  211
12:06:44  |  General  |  Warning  |  state name 'select' is obsolete, use 'pushed'. skin 'ButtonSmall'  |  c:\users\nicholas.kostelnik\desktop\mygui\trunk\myguiengine\src\mygui_skinmanager.cpp  |  202
12:06:44  |  General  |  Warning  |  state name 'disable' is obsolete, use 'disabled'. skin 'ButtonSmall'  |  c:\users\nicholas.kostelnik\desktop\mygui\trunk\myguiengine\src\mygui_skinmanager.cpp  |  194
12:06:44  |  General  |  Warning  |  state name 'active' is obsolete, use 'highlighted'. skin 'ButtonSmall'  |  c:\users\nicholas.kostelnik\desktop\mygui\trunk\myguiengine\src\mygui_skinmanager.cpp  |  198
12:06:44  |  General  |  Warning  |  state name 'pressed' is obsolete, use 'normal_checked'. skin 'ButtonSmall'  |  c:\users\nicholas.kostelnik\desktop\mygui\trunk\myguiengine\src\mygui_skinmanager.cpp  |  211
12:06:44  |  General  |  Warning  |  state name 'select' is obsolete, use 'pushed'. skin 'ButtonSmall'  |  c:\users\nicholas.kostelnik\desktop\mygui\trunk\myguiengine\src\mygui_skinmanager.cpp  |  202
12:06:44  |  General  |  Warning  |  state name 'disable' is obsolete, use 'disabled'. skin 'ButtonSmall'  |  c:\users\nicholas.kostelnik\desktop\mygui\trunk\myguiengine\src\mygui_skinmanager.cpp  |  194
12:06:44  |  General  |  Warning  |  state name 'disable' is obsolete, use 'disabled'. skin 'Edit'  |  c:\users\nicholas.kostelnik\desktop\mygui\trunk\myguiengine\src\mygui_skinmanager.cpp  |  194
12:06:44  |  General  |  Warning  |  state name 'active' is obsolete, use 'highlighted'. skin 'Edit'  |  c:\users\nicholas.kostelnik\desktop\mygui\trunk\myguiengine\src\mygui_skinmanager.cpp  |  198
12:06:44  |  General  |  Warning  |  state name 'pressed' is obsolete, use 'normal_checked'. skin 'Edit'  |  c:\users\nicholas.kostelnik\desktop\mygui\trunk\myguiengine\src\mygui_skinmanager.cpp  |  211
12:06:44  |  General  |  Warning  |  state name 'select' is obsolete, use 'pushed'. skin 'Edit'  |  c:\users\nicholas.kostelnik\desktop\mygui\trunk\myguiengine\src\mygui_skinmanager.cpp  |  202
12:06:44  |  General  |  Warning  |  state name 'disable' is obsolete, use 'disabled'. skin 'Edit'  |  c:\users\nicholas.kostelnik\desktop\mygui\trunk\myguiengine\src\mygui_skinmanager.cpp  |  194
12:06:44  |  General  |  Warning  |  state name 'active' is obsolete, use 'highlighted'. skin 'Edit'  |  c:\users\nicholas.kostelnik\desktop\mygui\trunk\myguiengine\src\mygui_skinmanager.cpp  |  198
12:06:44  |  General  |  Warning  |  state name 'pressed' is obsolete, use 'normal_checked'. skin 'Edit'  |  c:\users\nicholas.kostelnik\desktop\mygui\trunk\myguiengine\src\mygui_skinmanager.cpp  |  211
12:06:44  |  General  |  Warning  |  state name 'select' is obsolete, use 'pushed'. skin 'Edit'  |  c:\users\nicholas.kostelnik\desktop\mygui\trunk\myguiengine\src\mygui_skinmanager.cpp  |  202
12:06:44  |  General  |  Warning  |  state name 'disable' is obsolete, use 'disabled'. skin 'Edit'  |  c:\users\nicholas.kostelnik\desktop\mygui\trunk\myguiengine\src\mygui_skinmanager.cpp  |  194
12:06:44  |  General  |  Warning  |  state name 'active' is obsolete, use 'highlighted'. skin 'Edit'  |  c:\users\nicholas.kostelnik\desktop\mygui\trunk\myguiengine\src\mygui_skinmanager.cpp  |  198
12:06:44  |  General  |  Warning  |  state name 'pressed' is obsolete, use 'normal_checked'. skin 'Edit'  |  c:\users\nicholas.kostelnik\desktop\mygui\trunk\myguiengine\src\mygui_skinmanager.cpp  |  211
12:06:44  |  General  |  Warning  |  state name 'select' is obsolete, use 'pushed'. skin 'Edit'  |  c:\users\nicholas.kostelnik\desktop\mygui\trunk\myguiengine\src\mygui_skinmanager.cpp  |  202
12:06:44  |  General  |  Warning  |  state name 'disable' is obsolete, use 'disabled'. skin 'Edit'  |  c:\users\nicholas.kostelnik\desktop\mygui\trunk\myguiengine\src\mygui_skinmanager.cpp  |  194
12:06:44  |  General  |  Warning  |  state name 'disable' is obsolete, use 'disabled'. skin 'EditStretch'  |  c:\users\nicholas.kostelnik\desktop\mygui\trunk\myguiengine\src\mygui_skinmanager.cpp  |  194
